title	url_slug	granter	date	year	description
DCOMP Travel Award	aps22_dcomp_travel	APS Division of Computational Physics	2022-01-29	2022	""
DMP Post-Doctoral Travel Award	aps22_dmp_travel	APS Division of Materials Physics	2022-01-24	2022	""
MolSSI Software Fellowship	molssi	Molecular Sciences Software Institute	2020-11-06	2020	"""Prestigious fellowships that recognize advanced graduate students and postdocs pursuing the development of software infrastructure, middleware, and frameworks that will benefit the broader field of computational molecular sciences"""
Rising Star in Computational and Data Sciences	rising_star	Oden Institute at UT Austin	2020-10-13	2020	I was honored to be selected to participate in this workshop, which unfortunately had to go virtual due to the pandemic, but was still a great experience!
MFI Postdoctoral Fellowship	mfi	CMU Manufacturing Futures Initiative	2019-05-31	2019	"""The MFI Postdoctoral Fellowship Program seeks candidates that will support the vision of MFI by demonstrating leadership in advanced manufacturing technologies, artificial intelligence, integrated design and entrepreneurship, the science of learning, technology policy, and addressing challenges that cross multiple disciplines."""
CCE Symposium Poster Prize	cce	MIT Center for Computational Engineering	2019-03-01	2019	
Materials Day Best Poster Award	matday	MIT Materials Research Laboratory	2018-10-01	2018	
Blue Waters Graduate Fellowship	bw	National Center for Supercomputing Applications	2017-01-01	2017	"Provides full stipend, tuition award, and computing resources for one year of graduate research support."
Total Energy Fellowship	total	MIT Energy Initiative	2016-01-01	2016	
"Second Place, de Florez Award Competition"	deflorez	MIT Dept. of Mechanical Engineering	2016-01-01	2016	
GRFP Honorable Mention	grfp	National Science Foundation	2014-01-01	2014	Favorably reviewed application for the NSF Graduate Research Fellowship Program.
Gates Cambridge Scholarship	gates	Cambridge Gates Trust	2013-01-01	2013	"Fully-funded scholarship to the University of Cambridge, established by the Bill & Melinda Gates Foundation and awarded to students with ""outstanding intellectual ability, leadership potential, and a commitment to improving the lives of others."""
Howard L. Schultz Prize	schultz	Yale Physics Department	2013-01-01	2013	"Awarded to an undergraduate demonstrating ""excellence, inventiveness, and good taste in experimental physics."""
Mellon Grant	mellon	Pierson College at Yale University	2012-01-01	2012	Competitive grant that partially funded my undergraduate senior thesis research.
REMRSEC REU Technical Achievement Award	remrsec	Colorado School of Mines Renewable Energy Materials Research Science and Engineering Center	2012-01-01	2012	"For the work that ""best exhibits outstanding science."" I received it for my project on Raman Spectroscopy of Silicon Quantum Dots."
Robert C. Byrd Honors Scholarship	byrd	US Department of Education	2009-01-01	2009	Merit-based college scholarship award.
Intel STS Semifinalist	intel	Intel Science Talent Search	2009-01-01	2009	"Research-based science competition for high school seniors, now known as the Regeneron Science Talent Search. I received semifinalist status for my work at the University of Rochester Laboratory for Laser Energetics in the summer of 2008"